Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Vol_Avg,Vol_Avg_Check,Total_Revenue,summer_peak,summer_midpeak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,0.3247,0.3247,1561695600.0,0.3705,0.3254,0.2779,0.3591,0.3205,0.3093
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.3195,0.3195,1536626001.141,0.3645,0.3202,0.2734,0.3533,0.3153,0.3043
F0_WF0_ROE1,0,False,1.0,0.0,0.0,0.3143,0.3143,1511556402.282,0.3586,0.315,0.2689,0.3476,0.3102,0.2993
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.309,0.309,1486486803.4231,0.3526,0.3097,0.2645,0.3418,0.305,0.2944
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.2929,0.2929,1409006573.4352,0.3343,0.2936,0.2507,0.324,0.2891,0.279
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.2877,0.2877,1383936974.5762,0.3283,0.2884,0.2462,0.3182,0.284,0.2741
F0_WF1_ROE1,0,True,1.0,0.0,0.0,0.2825,0.2825,1358867375.7172,0.3224,0.2831,0.2418,0.3124,0.2788,0.2691
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.2773,0.2773,1333797776.8583,0.3164,0.2779,0.2373,0.3067,0.2737,0.2641
F25_WF0_ROE0,25,False,0.0,6.7265,16.8163,0.2785,0.2785,1561695600.0,0.3178,0.2791,0.2384,0.308,0.2749,0.2653
F25_WF0_ROE0.5,25,False,0.5,6.7265,16.8163,0.2733,0.2733,1536626001.141,0.3119,0.2739,0.2339,0.3023,0.2698,0.2603
F25_WF0_ROE1,25,False,1.0,6.7265,16.8163,0.2681,0.2681,1511556402.282,0.3059,0.2687,0.2294,0.2965,0.2646,0.2554
F25_WF0_ROE1.5,25,False,1.5,6.7265,16.8163,0.2629,0.2629,1486486803.4231,0.3,0.2635,0.225,0.2907,0.2595,0.2504
F25_WF1_ROE0,25,True,0.0,6.7265,16.8163,0.2468,0.2468,1409006573.4352,0.2816,0.2473,0.2112,0.2729,0.2436,0.235
F25_WF1_ROE0.5,25,True,0.5,6.7265,16.8163,0.2416,0.2416,1383936974.5762,0.2756,0.2421,0.2067,0.2672,0.2384,0.2301
F25_WF1_ROE1,25,True,1.0,6.7265,16.8163,0.2363,0.2363,1358867375.7172,0.2697,0.2369,0.2023,0.2614,0.2333,0.2251
F25_WF1_ROE1.5,25,True,1.5,6.7265,16.8163,0.2311,0.2311,1333797776.8583,0.2637,0.2317,0.1978,0.2556,0.2281,0.2202
F50_WF0_ROE0,50,False,0.0,13.453,33.6326,0.2324,0.2324,1561695600.0,0.2651,0.2329,0.1988,0.257,0.2293,0.2213
F50_WF0_ROE0.5,50,False,0.5,13.453,33.6326,0.2271,0.2271,1536626001.141,0.2592,0.2276,0.1944,0.2512,0.2242,0.2163
F50_WF0_ROE1,50,False,1.0,13.453,33.6326,0.2219,0.2219,1511556402.282,0.2532,0.2224,0.1899,0.2454,0.219,0.2114
F50_WF0_ROE1.5,50,False,1.5,13.453,33.6326,0.2167,0.2167,1486486803.4231,0.2473,0.2172,0.1855,0.2397,0.2139,0.2064
F50_WF1_ROE0,50,True,0.0,13.453,33.6326,0.2006,0.2006,1409006573.4352,0.2289,0.2011,0.1717,0.2219,0.198,0.1911
F50_WF1_ROE0.5,50,True,0.5,13.453,33.6326,0.1954,0.1954,1383936974.5762,0.223,0.1958,0.1672,0.2161,0.1929,0.1861
F50_WF1_ROE1,50,True,1.0,13.453,33.6326,0.1902,0.1902,1358867375.7172,0.217,0.1906,0.1628,0.2103,0.1877,0.1811
F50_WF1_ROE1.5,50,True,1.5,13.453,33.6326,0.185,0.185,1333797776.8583,0.2111,0.1854,0.1583,0.2046,0.1826,0.1762
F75_WF0_ROE0,75,False,0.0,20.1795,50.4489,0.1862,0.1862,1561695600.0,0.2125,0.1866,0.1593,0.2059,0.1838,0.1773
F75_WF0_ROE0.5,75,False,0.5,20.1795,50.4489,0.181,0.181,1536626001.141,0.2065,0.1814,0.1549,0.2002,0.1786,0.1724
F75_WF0_ROE1,75,False,1.0,20.1795,50.4489,0.1758,0.1758,1511556402.282,0.2006,0.1762,0.1504,0.1944,0.1735,0.1674
F75_WF0_ROE1.5,75,False,1.5,20.1795,50.4489,0.1706,0.1706,1486486803.4231,0.1946,0.1709,0.146,0.1886,0.1683,0.1624
F75_WF1_ROE0,75,True,0.0,20.1795,50.4489,0.1544,0.1544,1409006573.4352,0.1762,0.1548,0.1322,0.1708,0.1524,0.1471
F75_WF1_ROE0.5,75,True,0.5,20.1795,50.4489,0.1492,0.1492,1383936974.5762,0.1703,0.1496,0.1277,0.165,0.1473,0.1421
F75_WF1_ROE1,75,True,1.0,20.1795,50.4489,0.144,0.144,1358867375.7172,0.1643,0.1443,0.1233,0.1593,0.1421,0.1372
F75_WF1_ROE1.5,75,True,1.5,20.1795,50.4489,0.1388,0.1388,1333797776.8583,0.1584,0.1391,0.1188,0.1535,0.137,0.1322
F100_WF0_ROE0,100,False,0.0,26.9061,67.2652,0.14,0.14,1561695600.0,0.1598,0.1403,0.1198,0.1549,0.1382,0.1334
F100_WF0_ROE0.5,100,False,0.5,26.9061,67.2652,0.1348,0.1348,1536626001.141,0.1538,0.1351,0.1154,0.1491,0.1331,0.1284
F100_WF0_ROE1,100,False,1.0,26.9061,67.2652,0.1296,0.1296,1511556402.282,0.1479,0.1299,0.1109,0.1433,0.1279,0.1234
F100_WF0_ROE1.5,100,False,1.5,26.9061,67.2652,0.1244,0.1244,1486486803.4231,0.1419,0.1247,0.1065,0.1376,0.1228,0.1185
F100_WF1_ROE0,100,True,0.0,26.9061,67.2652,0.1083,0.1083,1409006573.4352,0.1236,0.1085,0.0927,0.1198,0.1069,0.1031
F100_WF1_ROE0.5,100,True,0.5,26.9061,67.2652,0.1031,0.1031,1383936974.5762,0.1176,0.1033,0.0882,0.114,0.1017,0.0982
F100_WF1_ROE1,100,True,1.0,26.9061,67.2652,0.0979,0.0979,1358867375.7172,0.1117,0.0981,0.0837,0.1082,0.0966,0.0932
F100_WF1_ROE1.5,100,True,1.5,26.9061,67.2652,0.0926,0.0926,1333797776.8583,0.1057,0.0929,0.0793,0.1025,0.0914,0.0882
