Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Vol_Avg,Total_Revenue,Vol_Revenue,Scaling_Factor,baseline_credit,summer_peak,summer_midpeak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,0.52953,1561695600.0,1561695600.0,1.0,0.11017,0.6,0.527,0.45,0.58155,0.51899,0.50084
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.52103,1536626001.0,1536626001.0,0.983947,0.1084,0.59037,0.51854,0.44278,0.57221,0.51066,0.4928
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.51253,1511556402.0,1511556402.0,0.967894,0.10663,0.58074,0.51008,0.43555,0.56288,0.50233,0.48476
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.50403,1486486803.0,1486486803.0,0.951842,0.10486,0.5711,0.50162,0.42833,0.55354,0.494,0.47672
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.47776,1409006573.0,1409006573.0,0.902229,0.0994,0.54134,0.47547,0.406,0.52469,0.46825,0.45187
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.46926,1383936975.0,1383936975.0,0.886176,0.09763,0.53171,0.46701,0.39878,0.51536,0.45992,0.44383
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.46076,1358867376.0,1358867376.0,0.870123,0.09586,0.52207,0.45855,0.39156,0.50602,0.45159,0.43579
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.45225,1333797777.0,1333797777.0,0.85407,0.09409,0.51244,0.4501,0.38433,0.49668,0.44325,0.42775
F25_WF0_ROE0,25,False,0.0,4.40356,17.72483,0.45424,1561695600.0,1339653785.0,0.85782,0.09451,0.51469,0.45207,0.38602,0.49887,0.4452,0.42963
F25_WF0_ROE0.5,25,False,0.5,4.40356,17.72483,0.44574,1536626001.0,1314584186.0,0.841767,0.09274,0.50506,0.44361,0.3788,0.48953,0.43687,0.42159
F25_WF0_ROE1.0,25,False,1.0,4.40356,17.72483,0.43724,1511556402.0,1289514587.0,0.825714,0.09097,0.49543,0.43515,0.37157,0.48019,0.42854,0.41355
F25_WF0_ROE1.5,25,False,1.5,4.40356,17.72483,0.42874,1486486803.0,1264444988.0,0.809662,0.0892,0.4858,0.42669,0.36435,0.47086,0.42021,0.40551
F25_WF1_ROE0,25,True,0.0,4.40356,17.72483,0.40247,1409006573.0,1186964758.0,0.760049,0.08373,0.45603,0.40055,0.34202,0.44201,0.39446,0.38066
F25_WF1_ROE0.5,25,True,0.5,4.40356,17.72483,0.39397,1383936975.0,1161895159.0,0.743996,0.08197,0.4464,0.39209,0.3348,0.43267,0.38613,0.37262
F25_WF1_ROE1.0,25,True,1.0,4.40356,17.72483,0.38547,1358867376.0,1136825561.0,0.727943,0.0802,0.43677,0.38363,0.32757,0.42334,0.3778,0.36458
F25_WF1_ROE1.5,25,True,1.5,4.40356,17.72483,0.37697,1333797777.0,1111755962.0,0.71189,0.07843,0.42713,0.37517,0.32035,0.414,0.36946,0.35654
F50_WF0_ROE0,50,False,0.0,8.80712,35.44965,0.37895,1561695600.0,1117611970.0,0.71564,0.07884,0.42938,0.37714,0.32204,0.41618,0.37141,0.35842
F50_WF0_ROE0.5,50,False,0.5,8.80712,35.44965,0.37045,1536626001.0,1092542371.0,0.699587,0.07707,0.41975,0.36868,0.31481,0.40684,0.36308,0.35038
F50_WF0_ROE1.0,50,False,1.0,8.80712,35.44965,0.36195,1511556402.0,1067472772.0,0.683534,0.0753,0.41012,0.36022,0.30759,0.39751,0.35475,0.34234
F50_WF0_ROE1.5,50,False,1.5,8.80712,35.44965,0.35345,1486486803.0,1042403173.0,0.667482,0.07354,0.40049,0.35176,0.30037,0.38817,0.34642,0.3343
F50_WF1_ROE0,50,True,0.0,8.80712,35.44965,0.32718,1409006573.0,964922943.0,0.617869,0.06807,0.37072,0.32562,0.27804,0.35932,0.32067,0.30945
F50_WF1_ROE0.5,50,True,0.5,8.80712,35.44965,0.31868,1383936975.0,939853344.0,0.601816,0.0663,0.36109,0.31716,0.27082,0.34999,0.31234,0.30141
F50_WF1_ROE1.0,50,True,1.0,8.80712,35.44965,0.31018,1358867376.0,914783745.0,0.585763,0.06453,0.35146,0.3087,0.26359,0.34065,0.30401,0.29337
F50_WF1_ROE1.5,50,True,1.5,8.80712,35.44965,0.30168,1333797777.0,889714147.0,0.56971,0.06276,0.34183,0.30024,0.25637,0.33132,0.29567,0.28533
F75_WF0_ROE0,75,False,0.0,13.21068,53.17448,0.30366,1561695600.0,895570155.0,0.57346,0.06318,0.34408,0.30221,0.25806,0.3335,0.29762,0.28721
F75_WF0_ROE0.5,75,False,0.5,13.21068,53.17448,0.29516,1536626001.0,870500556.0,0.557407,0.06141,0.33444,0.29375,0.25083,0.32416,0.28929,0.27917
F75_WF0_ROE1.0,75,False,1.0,13.21068,53.17448,0.28666,1511556402.0,845430957.0,0.541355,0.05964,0.32481,0.28529,0.24361,0.31482,0.28096,0.27113
F75_WF0_ROE1.5,75,False,1.5,13.21068,53.17448,0.27816,1486486803.0,820361358.0,0.525302,0.05787,0.31518,0.27683,0.23639,0.30549,0.27263,0.26309
F75_WF1_ROE0,75,True,0.0,13.21068,53.17448,0.25189,1409006573.0,742881128.0,0.475689,0.05241,0.28541,0.25069,0.21406,0.27664,0.24688,0.23824
F75_WF1_ROE0.5,75,True,0.5,13.21068,53.17448,0.24339,1383936975.0,717811529.0,0.459636,0.05064,0.27578,0.24223,0.20684,0.2673,0.23855,0.2302
F75_WF1_ROE1.0,75,True,1.0,13.21068,53.17448,0.23489,1358867376.0,692741930.0,0.443583,0.04887,0.26615,0.23377,0.19961,0.25797,0.23022,0.22216
F75_WF1_ROE1.5,75,True,1.5,13.21068,53.17448,0.22639,1333797777.0,667672331.0,0.42753,0.0471,0.25652,0.22531,0.19239,0.24863,0.22188,0.21412
F100_WF0_ROE0,100,False,0.0,17.61425,70.89931,0.22838,1561695600.0,673528340.0,0.43128,0.04751,0.25877,0.22728,0.19408,0.25081,0.22383,0.216
F100_WF0_ROE0.5,100,False,0.5,17.61425,70.89931,0.21987,1536626001.0,648458741.0,0.415227,0.04575,0.24914,0.21882,0.18685,0.24148,0.2155,0.20796
F100_WF0_ROE1.0,100,False,1.0,17.61425,70.89931,0.21137,1511556402.0,623389142.0,0.399175,0.04398,0.2395,0.21036,0.17963,0.23214,0.20717,0.19992
F100_WF0_ROE1.5,100,False,1.5,17.61425,70.89931,0.20287,1486486803.0,598319543.0,0.383122,0.04221,0.22987,0.20191,0.1724,0.2228,0.19884,0.19188
F100_WF1_ROE0,100,True,0.0,17.61425,70.89931,0.1766,1409006573.0,520839313.0,0.333509,0.03674,0.20011,0.17576,0.15008,0.19395,0.17309,0.16703
F100_WF1_ROE0.5,100,True,0.5,17.61425,70.89931,0.1681,1383936975.0,495769714.0,0.317456,0.03497,0.19047,0.1673,0.14286,0.18462,0.16476,0.15899
F100_WF1_ROE1.0,100,True,1.0,17.61425,70.89931,0.1596,1358867376.0,470700115.0,0.301403,0.03321,0.18084,0.15884,0.13563,0.17528,0.15643,0.15095
F100_WF1_ROE1.5,100,True,1.5,17.61425,70.89931,0.1511,1333797777.0,445630516.0,0.28535,0.03144,0.17121,0.15038,0.12841,0.16595,0.14809,0.14291
